state,x,y
Andhra Pradesh,-70,-118
Arunachal Pradesh,198,136
Assam,164,97
Bihar,63,78
Chattisgarh,-4,-0
Goa,-145,-101
Gujarat,-168,37
Haryana,-90,140
Himachal Pradesh,-74,185
Jharkhand,45,45
Karnataka,-111,-141
Kerala,-108,-192
Madhya Pradesh,-78,33
Maharashtra,-123,-32
Manipur,200,71
Meghalaya,135,80
Mizoram,190,45
Nagaland,213,95
Odisha,55,-13
Punjab,-105,165
Rajasthan,-134,99
Sikkim,112,114
Tamil Nadu,-74,-186
Telangana,-58,-59
Tripura,143,52
Uttar Pradesh,-40,100
Uttarakhand,-50,160
West Bengal,90,30
